City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,73.72,clear sky,22.0752,-159.319,Pono Kai Resort
5,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti International Resort
8,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
9,Rikitea,PF,79.09,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
11,Castro,BR,80.15,clear sky,-24.7911,-50.0119,Hotel Central Palace
12,Port Elizabeth,ZA,72.32,few clouds,-33.918,25.5701,Waterford Hotel
19,Chuy,UY,88.74,scattered clouds,-33.6971,-53.4616,Alerces
20,Ushuaia,AR,71.26,broken clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
28,Cape Town,ZA,82.81,clear sky,-33.9258,18.4232,Townhouse Hotel
30,Dakar,SN,86.88,clear sky,14.6937,-17.4441,翁记小吃
38,Coro,VE,82.38,few clouds,11.4045,-69.6734,Urumaco Suite
39,Kavieng,PG,80.33,overcast clouds,-2.5744,150.7967,Kavieng Hotel
40,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Aurora Alice Springs
41,Bredasdorp,ZA,70.84,clear sky,-34.5322,20.0403,Victoria Hotel
53,Punta Arenas,CL,71.71,overcast clouds,-53.15,-70.9167,Hotel Lacolet
56,Galveston,US,77.18,mist,29.3669,-94.9669,Comfort Inn & Suites Texas City
58,Melchor De Mencos,GT,82.4,scattered clouds,17.0686,-89.1522,Hotel Central
60,Meulaboh,ID,75.54,overcast clouds,4.1363,96.1285,Hotel Meuligou
63,Parrita,CR,86.77,clear sky,9.5201,-84.3225,Hotel Paraíso Carlisa
71,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
72,Sur,OM,78.69,broken clouds,22.5667,59.5289,Sur Hotel
73,Pisco,PE,79.02,clear sky,-13.7,-76.2167,La Portada
79,Pimenta Bueno,BR,83.21,broken clouds,-11.6725,-61.1936,Cristalina palace hotel
80,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
81,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Aloe guest house
84,Atuona,PF,79.07,few clouds,-9.8,-139.0333,Pearl Resort
97,Eyl,SO,75.9,scattered clouds,7.9803,49.8164,فندق ايل دابي
99,Hilo,US,71.33,light rain,19.7297,-155.09,Dolphin Bay Hotel
102,Wahiawa,US,71.92,overcast clouds,21.5028,-158.0236,The Inn At Schofield
106,Yeppoon,AU,74.98,scattered clouds,-23.1333,150.7333,Blossom's on Seaspray
110,Hambantota,LK,77.11,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
111,Yulara,AU,82.81,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
114,Hithadhoo,MV,81.88,few clouds,-0.6,73.0833,Pebbles Inn
118,Saint Augustine,US,78.1,clear sky,29.8947,-81.3145,Best Western Bayfront
130,Winneba,GH,82.9,overcast clouds,5.3511,-0.6231,Lagoon lodge Resort
132,Rio Gallegos,AR,73.45,broken clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
133,Sibu,MY,73.71,scattered clouds,2.3,111.8167,The Paramount Hotel
139,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
142,Maltahohe,,77.27,broken clouds,-24.8333,16.9833,Maltahöhe Hotel
145,Cidreira,BR,80.71,clear sky,-30.1811,-50.2056,Hotel Castelo
146,Vila Velha,BR,89.55,scattered clouds,-20.3297,-40.2925,Hotel Prainha
147,Batticaloa,LK,77.86,broken clouds,7.7102,81.6924,Lake View Hotel
149,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Central Hôtel
154,Atar,MR,79.66,overcast clouds,20.5169,-13.0499,فندق سكليل
162,Manokwari,ID,76.53,light rain,-0.8667,134.0833,Hotel Arfak
165,Broken Hill,AU,75.0,clear sky,-31.95,141.4333,Ibis Styles
166,Namibe,AO,74.41,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
167,Oshakati,,81.45,overcast clouds,-17.7833,15.6833,Oshakati Country Lodge
170,Nouadhibou,MR,78.78,few clouds,20.931,-17.0347,Hotel valencia
178,Karratha,AU,86.36,scattered clouds,-20.7377,116.8463,Karratha International Hotel
182,Santa Cruz,BO,87.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
183,Mar Del Plata,AR,78.94,clear sky,-38.0023,-57.5575,Nuevo Ostende
187,Kroya,ID,76.15,overcast clouds,-7.6331,109.2461,Setia Hotel
189,Titusville,US,80.22,clear sky,28.6122,-80.8075,Palace Hotel
191,Toamasina,MG,78.8,light rain,-18.1667,49.3833,Androranga
195,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Terra Sur
196,Souillac,MU,80.98,light rain,-20.5167,57.5167,Hotel SkylineInn
197,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
202,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
211,Ejido,VE,79.45,scattered clouds,8.5514,-71.2375,Viila Suite
213,Guanhaes,BR,77.99,overcast clouds,-18.775,-42.9325,Hotel Caravelle
220,Santa Rosa,PH,77.11,overcast clouds,14.3122,121.1114,JARS RESORT
221,Mareeba,AU,76.44,overcast clouds,-17.0,145.4333,The Gateway Hotel
223,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
226,Sao Filipe,CV,70.16,broken clouds,14.8961,-24.4956,Bela Vista
228,Nampula,MZ,71.55,moderate rain,-15.1165,39.2666,Hotel Lurio
232,Ambon,ID,73.54,moderate rain,-3.6954,128.1814,Hotel Hero
233,Alto Araguaia,BR,83.53,overcast clouds,-17.3147,-53.2153,Hotel Araguaia
239,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Marry's Motel
241,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Palace
243,Aden,YE,76.69,clear sky,12.7794,45.0367,فندق قصر الجزيرة
247,Chabahar,IR,72.97,few clouds,25.2919,60.643,هتل سپیده
248,Grootfontein,,74.64,overcast clouds,-19.5667,18.1167,Meteor Travel Inn
252,Kalabo,ZM,70.47,moderate rain,-14.97,22.6814,Golden Lodge Luxury Acomodation
256,Padang,ID,77.05,moderate rain,-0.9492,100.3543,losmen Surya
258,Sao Jose Da Coroa Grande,BR,82.44,overcast clouds,-8.8978,-35.1478,Hotel do Sol
259,Galle,LK,78.06,overcast clouds,6.0367,80.217,Jungle Hostel Villa
261,Rundu,,76.39,overcast clouds,-17.9333,19.7667,Kavango River Lodge
263,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
264,Ibra,OM,77.38,scattered clouds,22.6906,58.5334,الدكيك
266,Vao,NC,77.94,overcast clouds,-22.6667,167.4833,Nataiwatch
272,Saldanha,ZA,86.05,scattered clouds,-33.0117,17.9442,Hoedjesbaai
273,Salinopolis,BR,82.15,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
279,Almeirim,BR,87.3,broken clouds,-1.5233,-52.5817,Kapejar Hotel
290,Bacolod,PH,75.96,overcast clouds,10.6667,122.95,Northwest Inn
298,Faanui,PF,80.35,light rain,-16.4833,-151.75,Oa Oa Lodge
300,Tete,MZ,87.89,broken clouds,-16.1564,33.5867,Zambezi Hotel
306,Sebring,US,79.21,clear sky,27.4956,-81.4409,Residence Inn by Marriott Sebring
311,Guhagar,IN,73.56,scattered clouds,17.4842,73.1929,Prestige Deluxe
315,Limbang,MY,77.11,overcast clouds,4.75,115.0,Comfort Hotel
324,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Fidji Motel
325,Soyo,AO,82.2,scattered clouds,-6.1349,12.3689,Hotel Maria Teres
328,Mahebourg,MU,80.89,light rain,-20.4081,57.7,Grand Bel Air
331,Mackay,AU,78.67,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
332,Taquaritinga,BR,82.63,broken clouds,-21.4061,-48.5047,Hotel Central
338,La Asuncion,VE,79.45,few clouds,11.0333,-63.8628,Hotel La Ciudad
347,Morondava,MG,81.63,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
348,Itarema,BR,84.61,light rain,-2.9248,-39.9167,Pousada Oásis
355,Manado,ID,70.57,scattered clouds,1.487,124.8455,Swiss Belhotel
356,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
359,Guanica,PR,87.98,clear sky,17.9716,-66.908,Copamarina Beach Resort
361,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
362,Mococa,BR,81.23,broken clouds,-21.4678,-47.0047,Palace Hotel
367,Isla Mujeres,MX,82.17,light rain,21.2311,-86.731,Villa La Bella
380,Banda Aceh,ID,77.99,overcast clouds,5.5577,95.3222,Hotel 61
381,Saint-Leu,RE,77.86,light rain,-21.15,55.2833,Iloha Seaview Hôtel
384,Kalemie,CD,72.25,light rain,-5.9475,29.1947,Hotel du Lac
392,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
396,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,Ibis Styles
401,Axim,GH,82.83,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
402,Salalah,OM,72.59,scattered clouds,17.0151,54.0924,Muscat International Hotel
413,Bowen,AU,78.93,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
415,Ewa Beach,US,73.35,overcast clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
420,Kudat,MY,77.29,few clouds,6.8837,116.8477,Hotel Ria
422,Dothan,US,76.84,clear sky,31.2232,-85.3905,Comfort Inn & Suites Dothan East
430,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
435,Vicosa Do Ceara,BR,80.33,overcast clouds,-3.5622,-41.0922,Hotel Municipal de Serra
436,Port Blair,IN,80.64,haze,11.6667,92.75,Andaman Ocean Breeze
437,Mitsamiouli,KM,80.31,moderate rain,-11.3847,43.2844,Hotel le Paradis
444,Richards Bay,ZA,74.32,moderate rain,-28.783,32.0377,Protea Hotel
446,Puri,IN,75.72,broken clouds,19.8,85.85,Divine Beach Homestay
451,Parati,BR,78.55,light rain,-23.2178,-44.7131,Solar dos Gerânios
455,Huarmey,PE,77.65,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
460,Mersing,MY,78.71,few clouds,2.4312,103.8405,Mersing Inn Hotel
462,Jardim,BR,81.61,overcast clouds,-21.4803,-56.1381,Hotel Uchôa
464,Florianopolis,BR,85.23,few clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
466,Sisophon,KH,81.32,clear sky,13.5859,102.9737,Rathana Guesthouse
468,Talcahuano,CL,71.28,smoke,-36.7167,-73.1167,Club Recreativo Armada de Chile
472,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
475,Sao Gabriel Da Cachoeira,BR,75.0,mist,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
479,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,Hotel del Valle
480,Fare,PF,79.93,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
486,Ascension,US,78.1,overcast clouds,30.2169,-90.9001,Cajun Country Inn
487,Yilan,TW,70.36,overcast clouds,24.757,121.753,蘭城晶英酒店(6-11F)
490,Hukuntsi,BW,81.99,overcast clouds,-24.0,21.75,Entabeni Hotel
492,Moerai,PF,79.2,scattered clouds,-22.4333,-151.3333,Manotel Rurutu
495,Omboue,GA,82.29,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
496,Quang Ngai,VN,71.15,clear sky,15.1167,108.8,Ngoc Anh
499,Takoradi,GH,82.67,overcast clouds,4.8845,-1.7554,Hillcrest
502,Pantai Remis,MY,77.02,overcast clouds,4.4557,100.6288,Hotel Lam Seng
509,Sabang,ID,81.19,overcast clouds,5.8933,95.3214,Sabang Hill
511,Maragogi,BR,82.38,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
519,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Coco Villa
521,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Cape Garden
522,Namatanai,PG,78.76,light rain,-3.6667,152.4333,Namatanai Hotel
528,Cabo San Lucas,MX,73.62,clear sky,22.8909,-109.9124,Comfort Rooms
530,Benguela,AO,78.96,broken clouds,-12.5763,13.4055,Hotel Moibela
537,San Carlos De Bariloche,AR,78.24,clear sky,-41.1456,-71.3082,Kronos
538,Constitucion,CL,71.85,clear sky,-35.3333,-72.4167,Hostal Alameda
540,Ambilobe,MG,74.17,moderate rain,-13.2,49.05,Hôtel National
543,Wewak,PG,77.79,light rain,-3.5534,143.6268,Village Inn
548,Puerto Leguizamo,CO,85.8,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
549,Kalmunai,LK,76.69,broken clouds,7.4167,81.8167,Saji new food
550,Sinnamary,GF,78.1,overcast clouds,5.3833,-52.95,Hôtel du fleuve
554,Alta Floresta,BR,73.22,moderate rain,-9.8756,-56.0861,Villas Hotel
559,Pimentel,PE,86.29,few clouds,-6.8367,-79.9342,Hospedaje Calle del Sol
562,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
565,Itacoatiara,BR,79.54,overcast clouds,-3.1431,-58.4442,Regine's Hotel
567,Manaure,CO,85.77,clear sky,11.7751,-72.4445,hotel palaima
573,Ailigandi,PA,80.24,broken clouds,9.2333,-78.0167,Akwadup Lodge
575,Ilhabela,BR,78.55,few clouds,-23.7781,-45.3581,Vila Kebaya
578,Lumberton,US,71.91,clear sky,34.6182,-79.0086,Royal Inn
586,Mizan Teferi,ET,74.3,scattered clouds,6.9833,35.5833,ሆቴል ሳላይሽ / Salayesh Hotel
588,Port Maria,JM,87.04,few clouds,18.3685,-76.8895,Casa Maria Hotel
594,Antofagasta,CL,74.48,scattered clouds,-23.65,-70.4,Hotel Colón
596,Quatre Cocos,MU,80.1,overcast clouds,-20.2078,57.7625,Horisun
598,Kantunilkin,MX,84.33,clear sky,21.0917,-87.45,Posada del Parque
599,Sao Felix Do Xingu,BR,78.69,overcast clouds,-6.6447,-51.995,Hotel Terraço
600,Barra Do Corda,BR,81.75,overcast clouds,-5.5,-45.25,Hotel Belcho
606,Mwandiga,TZ,72.64,light rain,-4.83,29.6581,Mulukoyoyo Ndogo Guesthouse
611,Kismayo,SO,77.31,clear sky,-0.3582,42.5454,Kismayo Hotel
612,Touros,BR,86.49,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
615,Ambo,PE,72.55,broken clouds,-10.1308,-76.2047,Chauchinito
617,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
623,Santa Vitoria Do Palmar,BR,89.13,scattered clouds,-33.5189,-53.3681,Hotel Brasil
628,Esquipulas,GT,81.01,broken clouds,14.5667,-89.35,Hotel San Judas
633,Inhambane,MZ,80.19,light rain,-23.865,35.3833,Hotel de Inhambane
637,Madang,PG,76.15,overcast clouds,-5.2246,145.7966,Madang Star International
644,Lorengau,PG,77.29,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
645,Talara,PE,88.56,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
648,Chimbote,PE,77.86,broken clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
652,Guarapuava,BR,83.01,few clouds,-25.3953,-51.4581,Hotel Libra
658,Winter Park,US,80.15,scattered clouds,28.6,-81.3392,Alfond Inn Rollins
661,Iquique,CL,77.04,scattered clouds,-20.2208,-70.1431,Hostal Vivar
662,Aracaju,BR,85.95,few clouds,-10.9111,-37.0717,Pousada Ideal
671,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
672,Cristalina,BR,77.47,overcast clouds,-16.7686,-47.6136,Goyás
673,Buchanan,LR,82.29,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
677,Kaabong,UG,74.55,clear sky,3.4836,34.1492,Sacavian
678,Domoni,KM,79.66,overcast clouds,-12.2569,44.5319,Hotel Djadid
680,Isangel,VU,78.51,light rain,-19.55,169.2667,Tanna Lodge
682,West Bay,KY,86.07,scattered clouds,19.3667,-81.4167,Bonnie's Arch
692,Omaruru,,80.74,broken clouds,-21.4333,15.9333,Central Hotel
